# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
24            	smoothSolver	1.816560e-02	1.070880e-03	2	2.185130e-02	1.263760e-03	2	false	smoothSolver	4.338730e-02	3.349080e-03	1	true	GAMG	1.059790e-01	9.407060e-04	9	true	smoothSolver	3.716450e-03	2.139710e-04	1	true
25            	smoothSolver	2.302590e-02	1.386850e-03	2	2.110150e-02	1.219970e-03	2	false	smoothSolver	4.122260e-02	3.194890e-03	1	true	GAMG	7.506870e-02	5.327460e-04	8	true	smoothSolver	3.346960e-03	2.022810e-04	1	true
26            	smoothSolver	2.198890e-02	1.336000e-03	2	2.007440e-02	1.180460e-03	2	false	smoothSolver	3.908980e-02	3.061310e-03	1	true	GAMG	7.358310e-02	5.652410e-04	10	true	smoothSolver	3.002570e-03	1.923150e-04	1	true
27            	smoothSolver	1.731020e-02	1.055840e-03	2	1.912400e-02	1.140130e-03	2	false	smoothSolver	3.733320e-02	2.947060e-03	1	true	GAMG	8.923190e-02	8.132150e-04	10	true	smoothSolver	2.823900e-03	1.863550e-04	1	true
28            	smoothSolver	1.137040e-02	6.961240e-04	2	1.834460e-02	1.100950e-03	2	false	smoothSolver	3.587450e-02	2.859540e-03	1	true	GAMG	1.328300e-01	1.169080e-03	10	true	smoothSolver	2.862890e-03	1.849550e-04	1	true
29            	smoothSolver	8.579590e-03	5.191040e-04	2	1.764310e-02	1.057190e-03	2	false	smoothSolver	3.463470e-02	2.780850e-03	1	true	GAMG	2.253200e-01	1.703270e-03	10	true	smoothSolver	2.866420e-03	1.839740e-04	1	true
30            	smoothSolver	1.076570e-02	6.655030e-04	2	1.711710e-02	1.022870e-03	2	false	smoothSolver	3.395830e-02	2.708940e-03	1	true	GAMG	1.308710e-01	1.128660e-03	8	true	smoothSolver	2.834740e-03	1.830910e-04	1	true
31            	smoothSolver	1.172330e-02	7.293630e-04	2	1.675810e-02	1.000840e-03	2	false	smoothSolver	3.311450e-02	2.641070e-03	1	true	GAMG	1.112010e-01	6.228050e-04	9	true	smoothSolver	2.760910e-03	1.809840e-04	1	true
32            	smoothSolver	1.099740e-02	6.890030e-04	2	1.656660e-02	9.890350e-04	2	false	smoothSolver	3.194360e-02	2.563600e-03	1	true	GAMG	1.150490e-01	9.789890e-04	9	true	smoothSolver	2.656400e-03	1.776680e-04	1	true
33            	smoothSolver	9.331430e-03	5.884240e-04	2	1.643830e-02	9.793620e-04	2	false	smoothSolver	3.075740e-02	2.487120e-03	1	true	GAMG	1.362010e-01	9.803520e-04	11	true	smoothSolver	2.601120e-03	1.757190e-04	1	true
34            	smoothSolver	7.811550e-03	4.874460e-04	2	1.621740e-02	9.681340e-04	2	false	smoothSolver	2.973710e-02	2.413630e-03	1	true	GAMG	1.784310e-01	1.472110e-03	8	true	smoothSolver	2.576470e-03	1.738710e-04	1	true
35            	smoothSolver	7.110250e-03	4.396700e-04	2	1.591810e-02	9.551150e-04	2	false	smoothSolver	2.879380e-02	2.334850e-03	1	true	GAMG	1.655680e-01	1.504510e-03	10	true	smoothSolver	2.524680e-03	1.709760e-04	1	true
36            	smoothSolver	7.372680e-03	4.535000e-04	2	1.569920e-02	9.449030e-04	2	false	smoothSolver	2.792700e-02	2.263460e-03	1	true	GAMG	1.393790e-01	9.897120e-04	9	true	smoothSolver	2.467140e-03	1.689540e-04	1	true
37            	smoothSolver	7.415920e-03	4.546710e-04	2	1.559690e-02	9.426650e-04	2	false	smoothSolver	2.710420e-02	2.196040e-03	1	true	GAMG	1.320100e-01	1.151660e-03	8	true	smoothSolver	2.415000e-03	1.671620e-04	1	true
38            	smoothSolver	7.088530e-03	4.337210e-04	2	1.555220e-02	9.427390e-04	2	false	smoothSolver	2.631940e-02	2.132590e-03	1	true	GAMG	1.327740e-01	7.837440e-04	10	true	smoothSolver	2.363110e-03	1.650200e-04	1	true
39            	smoothSolver	6.591600e-03	4.030660e-04	2	1.547430e-02	9.383420e-04	2	false	smoothSolver	2.559850e-02	2.076390e-03	1	true	GAMG	1.420090e-01	8.275540e-04	10	true	smoothSolver	2.327380e-03	1.632880e-04	1	true
40            	smoothSolver	6.438140e-03	3.953540e-04	2	1.531940e-02	9.312400e-04	2	false	smoothSolver	2.494360e-02	2.023980e-03	1	true	GAMG	1.545840e-01	1.344700e-03	9	true	smoothSolver	2.308680e-03	1.630000e-04	1	true
41            	smoothSolver	6.434500e-03	3.959190e-04	2	1.508430e-02	9.235930e-04	2	false	smoothSolver	2.430800e-02	1.974970e-03	1	true	GAMG	1.659760e-01	1.309600e-03	8	true	smoothSolver	2.293550e-03	1.623200e-04	1	true
42            	smoothSolver	6.444310e-03	3.963460e-04	2	1.493060e-02	9.164960e-04	2	false	smoothSolver	2.369700e-02	1.927230e-03	1	true	GAMG	1.746240e-01	1.168850e-03	8	true	smoothSolver	2.271690e-03	1.610690e-04	1	true
43            	smoothSolver	6.365080e-03	3.919790e-04	2	1.487630e-02	9.138510e-04	2	false	smoothSolver	2.315280e-02	1.881560e-03	1	true	GAMG	1.732720e-01	1.503460e-03	8	true	smoothSolver	2.267340e-03	1.604290e-04	1	true
44            	smoothSolver	6.246600e-03	3.844310e-04	2	1.481680e-02	9.129750e-04	2	false	smoothSolver	2.266210e-02	1.839820e-03	1	true	GAMG	1.672170e-01	1.644620e-03	8	true	smoothSolver	2.261220e-03	1.599740e-04	1	true
45            	smoothSolver	6.105810e-03	3.751390e-04	2	1.474630e-02	9.116770e-04	2	false	smoothSolver	2.218330e-02	1.798440e-03	1	true	GAMG	1.600930e-01	9.320870e-04	9	true	smoothSolver	2.249310e-03	1.592150e-04	1	true
46            	smoothSolver	5.983080e-03	3.655310e-04	2	1.468030e-02	9.075300e-04	2	false	smoothSolver	2.167640e-02	1.756660e-03	1	true	GAMG	1.518580e-01	1.453960e-03	8	true	smoothSolver	2.245620e-03	1.584690e-04	1	true
47            	smoothSolver	5.891820e-03	3.582960e-04	2	1.458940e-02	9.023580e-04	2	false	smoothSolver	2.122710e-02	1.719240e-03	1	true	GAMG	1.443780e-01	1.425260e-03	8	true	smoothSolver	2.233400e-03	1.584030e-04	1	true
48            	smoothSolver	5.823970e-03	3.528280e-04	2	1.445610e-02	8.976840e-04	2	false	smoothSolver	2.076730e-02	1.683350e-03	1	true	GAMG	1.389670e-01	1.152840e-03	8	true	smoothSolver	2.220420e-03	1.577400e-04	1	true
49            	smoothSolver	5.764100e-03	3.483140e-04	2	1.435500e-02	8.966700e-04	2	false	smoothSolver	2.032430e-02	1.648580e-03	1	true	GAMG	1.361150e-01	9.242180e-04	8	true	smoothSolver	2.210640e-03	1.569730e-04	1	true
50            	smoothSolver	5.724520e-03	3.444730e-04	2	1.429170e-02	8.946770e-04	2	false	smoothSolver	1.993270e-02	1.616090e-03	1	true	GAMG	1.335980e-01	8.240530e-04	8	true	smoothSolver	2.215010e-03	1.572070e-04	1	true
51            	smoothSolver	5.688530e-03	3.413640e-04	2	1.423550e-02	8.911470e-04	2	false	smoothSolver	1.958030e-02	1.586140e-03	1	true	GAMG	1.327650e-01	8.087950e-04	8	true	smoothSolver	2.213830e-03	1.573550e-04	1	true
52            	smoothSolver	5.657410e-03	3.387940e-04	2	1.414950e-02	8.873850e-04	2	false	smoothSolver	1.922570e-02	1.557840e-03	1	true	GAMG	1.327300e-01	7.971450e-04	8	true	smoothSolver	2.212340e-03	1.571650e-04	1	true
53            	smoothSolver	5.631360e-03	3.365100e-04	2	1.407430e-02	8.850890e-04	2	false	smoothSolver	1.887390e-02	1.529940e-03	1	true	GAMG	1.325230e-01	7.826420e-04	8	true	smoothSolver	2.211050e-03	1.571860e-04	1	true
54            	smoothSolver	5.607470e-03	3.345000e-04	2	1.404440e-02	8.817000e-04	2	false	smoothSolver	1.856240e-02	1.502480e-03	1	true	GAMG	1.323220e-01	8.238040e-04	8	true	smoothSolver	2.214740e-03	1.575350e-04	1	true
55            	smoothSolver	5.588070e-03	3.325880e-04	2	1.400780e-02	8.781970e-04	2	false	smoothSolver	1.827830e-02	1.478820e-03	1	true	GAMG	1.309950e-01	9.627830e-04	8	true	smoothSolver	2.225100e-03	1.580760e-04	1	true
56            	smoothSolver	5.574450e-03	3.309160e-04	2	1.396570e-02	8.761280e-04	2	false	smoothSolver	1.798930e-02	1.456660e-03	1	true	GAMG	1.307320e-01	1.165960e-03	7	true	smoothSolver	2.230570e-03	1.587520e-04	1	true
57            	smoothSolver	5.556270e-03	3.289740e-04	2	1.394050e-02	8.743430e-04	2	false	smoothSolver	1.769290e-02	1.433030e-03	1	true	GAMG	1.306150e-01	1.063940e-03	7	true	smoothSolver	2.242260e-03	1.589370e-04	1	true
58            	smoothSolver	5.543470e-03	3.268720e-04	2	1.393280e-02	8.724840e-04	2	false	smoothSolver	1.742770e-02	1.409770e-03	1	true	GAMG	1.308880e-01	1.066520e-03	7	true	smoothSolver	2.255750e-03	1.592400e-04	1	true
